,Abbreviation,Min,Max,Average,Mode,Std. Dev.
0,StrtCpt,,,,True,
1,AllCpt,,,,False,
2,CptRatio,0.0,1.0,0.24841732326273103,,0.3190103349049696
3,Length,1,28,6.197249589490969,,3.138866464521542
4,VwlRatio,0.0,1.0,0.35286248376308244,,0.17164772953922824
5,NoVwl,0,10,2.449712643678161,,1.5686363228305849
6,NoCns,0,17,3.4220032840722494,,2.014032136312338
7,NoDigit,0,5,0.2939244663382594,,0.9004093783924665
8,DigitRatio,0.0,1.0,0.12742050015756912,,0.33234369243195655
9,NoNonAlpha,0,3,0.031609195402298854,,0.205214402309443
10,NonAlphaRatio,0.0,0.25,0.0028073381464942264,,0.018418204431580838
11,AllCns,,,,False,
12,Hashtag,,,,False,
13,Mention,,,,False,
14,AllDigit,,,,False,
